,Names,review,cleaned_data
10,davestroud-76036,"This movie causes the audience to consider many topics on morality, particularly the poor choices made by the Joker. The Joker is more relatable in this movie than antagonists usually are. I think this gives a more realistic view of ""bad"" people, who are not usually 100% bad in all ways as society often judges. It is important to know when to sympathize with the Joker (towards the beginning of the movie), and when he needs to be identified as a threat (when he begins making certain bad choices). This movie is only suitable for adults who are willing to pick it apart and think critically about it. It isn't for light amusement. That substance is what makes it so good.

If you aren't able to ponder underlying themes on your own, and you have to be handed all your thoughts to you, then this isn't the best movie for you.",movie causes audience consider many topics morality particularly poor choices made joker joker relatable movie antagonists usually think gives realistic view bad people usually 100 bad ways society often judges important know sympathize joker towards beginning movie needs identified threat begins making certain bad choices movie suitable adults willing pick apart think critically isnt light amusement substance makes goodif arent able ponder underlying themes handed thoughts isnt best movie
11,link9933,"The acting, cinematography, sound design, and the script itself is phenomenal. This movie is a triumph. Joaquin Pheonix deserves an Oscar win for this tbh.",acting cinematography sound design script phenomenal movie triumph joaquin pheonix deserves oscar win tbh
12,burkholdermicah,"Need I say more? Everything about this Movie is Masterful in every single way! Joker isn't just an awesome comic book movie, it's an awesome movie, period. It offers no easy answers to the unsettling questions it raises about a cruel society in decline. Joaquin Phoenix's fully committed performance and Todd Phillips' masterful albeit loose reinvention of the DC source material make Joker a film that should leave comic book fans and non-fans alike disturbed and moved in all the right ways.",need say everything movie masterful every single way joker isnt awesome comic book movie awesome movie period offers easy answers unsettling questions raises cruel society decline joaquin phoenixs fully committed performance todd phillips masterful albeit loose reinvention dc source material make joker film leave comic book fans nonfans alike disturbed moved right ways
13,issrafeel,I will stop watching movies if Joaquin Phoenix is not awarded Oscar for his tremendous acting.,stop watching movies joaquin phoenix awarded oscar tremendous acting
14,jennifer_camp28,"I quit relying on critic reviews years ago... I noticed for this movie that the critics ratings were low but viewer ratings were high. That being said, what is the point of a critic when for this movie, they are oh so wrong. I went and saw this tonite with my mom. I went in skeptical and w some what low expectations. I knew not to expect your typical super hero movie. What we got was a masterpiece. I went in expecting sheer boredom and I was instead on the edge of my seat the whole time. Not action edge of your seat, it was a fear of what he may do or say next edge of your seat. To see this character evolve into what we all know as the #1 villain of Batman was beyond genius and Joaquin Phoenix is a true master at perfecting the art of consuming himself into this character. I may be all over the place with this but I don't care. This movie, the story, the acting, directing, effects, everyone brought their A game and JP definitely deserves a nod and win for this role. And no, there is no comparison here to Jack Nicholson or Heath Ledger. Each actor took on this character and different levels, different story points and different points in time, so any comparison would just not be feasible or fair to any of the actors as they embraced him and made him come to life in their own genius way!",quit relying critic reviews years ago noticed movie critics ratings low viewer ratings high said point critic movie oh wrong went saw tonite mom went skeptical w low expectations knew expect typical super hero movie got masterpiece went expecting sheer boredom instead edge seat whole time action edge seat fear may say next edge seat see character evolve know 1 villain batman beyond genius joaquin phoenix true master perfecting art consuming character may place dont care movie story acting directing effects everyone brought game jp definitely deserves nod win role comparison jack nicholson heath ledger actor took character different levels different story points different points time comparison would feasible fair actors embraced made come life genius way
15,j_bone-43816,"Joaquin Phoenix gives Heath Ledger a run for his money, true story. This is not a popcorn fluff comic book flick. DO NOT TAKE YOUR KIDS TO SEE THIS MOVIE. Shut down all ballots for the Oscar, Joaquin is taking that one home hands down. One of the best origin stories EVER put out. The only downside to this movie, is that it is a stand alone film that will have no sequels or ties to the DC Universe. Todd Philips take on the Joker is one of pure brilliance and Joaquin Phoenix was the Joker we deserved. He didn't steal from Jack or Heath but yet you got a taste of both.",joaquin phoenix gives heath ledger run money true story popcorn fluff comic book flick take kids see movie shut ballots oscar joaquin taking one home hands one best origin stories ever put downside movie stand alone film sequels ties dc universe todd philips take joker one pure brilliance joaquin phoenix joker deserved didnt steal jack heath yet got taste
16,seekingthelight,,
17,ruteratssssss,,
18,timdutton-06252,If I could write just one word and say no more I'd say perfection!,could write one word say id say perfection
19,ahakimshashaa,"The music. The intense. The realism. The performance. The story. Such a perfect combination of everything. I never felt that a character like joker could be real until I saw this. Phoenix shows us what a joker is in our society and shows us how power can be obtained. Philips on the other hand had the perfect choice of music, camera angles, lighting and every important factor. Overall, I did not expect the story to be this perfect. Too many shocking turns happened and it really does represent today's society. If I was in the first screening, I would have applauded for 80 min not 8.",music intense realism performance story perfect combination everything never felt character like joker could real saw phoenix shows us joker society shows us power obtained philips hand perfect choice music camera angles lighting every important factor overall expect story perfect many shocking turns happened really represent todays society first screening would applauded 80 min 8
20,andymaranam,"The perfect portrait of a decline to insanity"" & Joaquin Phoenix portrays this flawlessly in a performance of a lifetime. Choreographed impeccably by Todd Phillips & is nothing short of breathtaking. The cinematography & backdrop ideology of such an original film for such a complex character is only complimented by the superb soundtrack & acting. A hauntingly beautiful film & A Definate 10/10. Edit: Bring on part 2 plssssss!. We all want it!.",perfect portrait decline insanity joaquin phoenix portrays flawlessly performance lifetime choreographed impeccably todd phillips nothing short breathtaking cinematography backdrop ideology original film complex character complimented superb soundtrack acting hauntingly beautiful film definate 1010 edit bring part 2 plssssss want
21,colimexadrian,"Phoenix convinces me that he has always meant to be the joker. The movie went beyond my expectations, so many emotions went through me these couple hours. I think because its rated R, Phoenix was able to unlock jokers full psychotic potential as the character he is meant to be. This was an AMAZING story, and it calls for more. And I mean a build up, a second movie, maybe one with batman? My hopes are too high at this point, but nevertheless, brilliant goddamn movie and THE BEST joker ever played hands down.",phoenix convinces always meant joker movie went beyond expectations many emotions went couple hours think rated r phoenix able unlock jokers full psychotic potential character meant amazing story calls mean build second movie maybe one batman hopes high point nevertheless brilliant goddamn movie best joker ever played hands
22,diorboeyoung,"The pool does not need the money. They need the dignity and respect, coz that is what it takes to be a human. If you don't have that, money will only be a reminder of them being a ""good boy"". Like some politicians, they feel so frustrated when people from the lower class does not accept their funding champions. In this movie, through joker's life, I begin to get it.",pool need money need dignity respect coz takes human dont money reminder good boy like politicians feel frustrated people lower class accept funding champions movie jokers life begin get
23,prasadraokodasu,"10/10 Amazing story, Brilliant taking, magnificent cinematography. Someone had to step out of the safe game played by Superhero movies and Joker movie does just that (also The Boys). Movie is gritty, real, insanely dark and sometime quite disturbing to people who don't want accept what's shown in the movie is a terrible reality we face everyday if refused a proper care. Normally people start to compare the movie with one of the greatest like The Dark Knight and in acting wise to that of Heath ledger's Potrayal of joker. I wouldn't say this movie is better that that or otherwise , but it will stand tall amongst the greatest like The Godfather, Taxi Driver, Citizen Kane, The Dark Knight. Coming to the inevitable comparison of who's the better Joker? Heath or Joaquin. The answer is Both did a phenomenal job and the Joker character itself is fortunate to have being played by two greatest actors. Definitely a top contender for Oscars. I personally think it would take away 1.Best Actor 2.Cinematography 3.Original score and if Once Upon a time in Hollywood loses in Make-up and hairstyling category it would definitely be to The Joker.",1010 amazing story brilliant taking magnificent cinematography someone step safe game played superhero movies joker movie also boys movie gritty real insanely dark sometime quite disturbing people dont want accept whats shown movie terrible reality face everyday refused proper care normally people start compare movie one greatest like dark knight acting wise heath ledgers potrayal joker wouldnt say movie better otherwise stand tall amongst greatest like godfather taxi driver citizen kane dark knight coming inevitable comparison whos better joker heath joaquin answer phenomenal job joker character fortunate played two greatest actors definitely top contender oscars personally think would take away 1best actor 2cinematography 3original score upon time hollywood loses makeup hairstyling category would definitely joker
24,ahmetkozan,"Joaquin' portrayal of a sociopathic, mentally unstable man's transformation to the iconic Joker was non other than a grippingly accurate, realistic and touching rendition. A dark and disturbing character piece led by an Oscar worthy performance by Joaquin Phoenix. You really do feel bad for this guy, which makes it all the more heartbreaking when he inevitably becomes the clown prince of crime we all know and love, although we've never seen him like this. We see him suffer throughout the movie to the point we're almost rooting for himk to become a mass murdering psyco clown, because that at least will make feel better; then it happens and we just wish this could have all just been avoided, because es so messed up. We feel for him and care about him. By the time he's the joker, we wish we could've helped him. There's a lot of great nods to the greater Batman universe, yet the movie is a self contained character piece. That can only be the mark of a great movie. All the acting is great, the plot (while similar to Taxi Driver) is brilliant and the quality of the movie shows you don't need CGI super powers to be a great villain in a Superhero movie. Is a joke not everyone gets. This movie is ""the rise of the Joker!"" 10/10",joaquin portrayal sociopathic mentally unstable mans transformation iconic joker non grippingly accurate realistic touching rendition dark disturbing character piece led oscar worthy performance joaquin phoenix really feel bad guy makes heartbreaking inevitably becomes clown prince crime know love although weve never seen like see suffer throughout movie point almost rooting himk become mass murdering psyco clown least make feel better happens wish could avoided es messed feel care time hes joker wish couldve helped theres lot great nods greater batman universe yet movie self contained character piece mark great movie acting great plot similar taxi driver brilliant quality movie shows dont need cgi super powers great villain superhero movie joke everyone gets movie rise joker 1010
25,dariafa,"One of the best movies in these few years and 100% Oscar worthy

Joaquin Phoenix delivers one of the best performances I've ever scene",one best movies years 100 oscar worthyjoaquin phoenix delivers one best performances ive ever scene
26,noahbarber-35968,"Seriously, unbelievable. Dare I say better than Heath Ledger? If Joaquin Phoenix doesn't win the Oscar for best actor and 'Joker' doesn't win at the VERY least, best screenplay, it will be one of the biggest Oscar snubs of our time",seriously unbelievable dare say better heath ledger joaquin phoenix doesnt win oscar best actor joker doesnt win least best screenplay one biggest oscar snubs time
27,fitchbuster,"While the trailers for this movie have may seemed like there was potential for an action packed movie, this movie, clearly before it came to theaters was intended to be a progressive character study. You shouldn't go into this movie expecting intense action or the joker we know of the past. This is a movie about how Arthur Fleck becomes the Joker.

I have seen so many bad reviews about how boring or slow the movie is, but I believe it was utter perfection. The first part of the movie we begin to understand Arthur as a person. All of his interactions with everyone in his life, be it good or bad. The whole point of a character study is evolution. And this is far and away one of the greatest evolutions of a character I have ever seen in a movie.

Joaquin Phoenix's performance is by far the best acting I have seen in a movie possibly in the last few decades. We see a challenged person be challenged by society and it completely breaks him down over time. And Joaquin isn't acting, he is evolving all throughout the movie. If anyone thinks he doesn't put on an Oscar winning performance, they're out of their effing mind. Yes, the movie is slow to start, but it has to be. We couldn't just jump into the joker and all the chaos. We need to know where it came from to begin with.

The whole compilation of the movie is amazing. The complete Oscar deserving performance of Joaquin, the choreography, the cinematography, the score. Everything is in perfect harmony. While there may have been a lot of controversy surrounding this movie, the team put together a perfect movie and I pity those who can't appreciate the tears and sweat and emotion that went into making this movie.

I have always been so one sided in my movie preferences between Marvel and DC. I feel like Marvel is sooo much better overall and most movies DC puts out are trash. But Joker is far and away my favorite comic movie. Even though it takes a completely different spin on comic movies. You have to appreciate the evolution to appreciate this movie. It's not an action movie, but it's really rips and tears at all the emotions in one movie while adding a wild suspenseful kick. No other comic book movie has done that before.",trailers movie may seemed like potential action packed movie movie clearly came theaters intended progressive character study shouldnt go movie expecting intense action joker know past movie arthur fleck becomes jokeri seen many bad reviews boring slow movie believe utter perfection first part movie begin understand arthur person interactions everyone life good bad whole point character study evolution far away one greatest evolutions character ever seen moviejoaquin phoenixs performance far best acting seen movie possibly last decades see challenged person challenged society completely breaks time joaquin isnt acting evolving throughout movie anyone thinks doesnt put oscar winning performance theyre effing mind yes movie slow start couldnt jump joker chaos need know came begin withthe whole compilation movie amazing complete oscar deserving performance joaquin choreography cinematography score everything perfect harmony may lot controversy surrounding movie team put together perfect movie pity cant appreciate tears sweat emotion went making moviei always one sided movie preferences marvel dc feel like marvel sooo much better overall movies dc puts trash joker far away favorite comic movie even though takes completely different spin comic movies appreciate evolution appreciate movie action movie really rips tears emotions one movie adding wild suspenseful kick comic book movie done
28,Sinbaddylad,"What an incredible ride this was. I was almost motionless throughout, watching in awe the performance of a lifetime - the transition from troubled man to monster, the hounding score which directly drove the goosebumps, the cinematography which made you feel like you were flying through Gotham looking for Arthur yourself and the masterful De Niro who gave his nod to Jerry Lewis. Ignore DC. Ignore Batman. This is a work of art in its own right.",incredible ride almost motionless throughout watching awe performance lifetime transition troubled man monster hounding score directly drove goosebumps cinematography made feel like flying gotham looking arthur masterful de niro gave nod jerry lewis ignore dc ignore batman work art right
29,dayronguarnizo,"Masterpiece, one of the best films of the decade, it has it all, acting, directing, setting, photography, soundtrack, in a few years this film will be a cult one.",masterpiece one best films decade acting directing setting photography soundtrack years film cult one
30,mrunalshikharerocks,"Joker is literally an achievement in cinematic history there's no doubt in that ! But why people comparing it with Endgame ? Both movies have their own ways and they are completely different. Endgame was the best at its genre. Talking about Joker ... What can I say ... A beautiful presentation of storyline , direction , screenplay was all at its peak of greatness ... Heath ledger smiling down to earth :)",joker literally achievement cinematic history theres doubt people comparing endgame movies ways completely different endgame best genre talking joker say beautiful presentation storyline direction screenplay peak greatness heath ledger smiling earth
31,lilfin007,"This movie is a masterpiece! It absolutely epitomizes what a DC movie should be. Dark, emotional, thought provoking, not just action action action. One of the best movies I've seen in a long time.

Critics have definitely lost touch with the public and should be ignored on this one. Do yourself a favor and watch it!

And remember to be good to one another. You dont know what someone else is going through.",movie masterpiece absolutely epitomizes dc movie dark emotional thought provoking action action action one best movies ive seen long timecritics definitely lost touch public ignored one favor watch itand remember good one another dont know someone else going
32,alshehhi-94809,Creative actor Joaquin creativity embodied the role of the Joker film deserves more than 10,creative actor joaquin creativity embodied role joker film deserves 10
33,NpMoviez,"DC can STILL give us a compelling movie. Wasn't quite hyped about it, I mean, an origin story of a villain made by the director of Hangover movies; what could I even expect? Then, the reviews started to drop. Still wasn't sure if I would like it. And after I saw it, it was way better than I thought it would be. I won't call it a masterpiece, but it definitely is on my top 3 DC films of all times!

Good : There's hardly anything bad about Joker. Joaquin Phoenix does a great job of bringing the character into life. Rather than a typical superhero/supervillain origin story, we get to see a psychological drama + horror, and thank God, we got that. I love the genre, I love films like Infinity War, Days of Future Past, Endgame and Raimi's Spider-Man. But occasionally, it's really good to take a break from such films. It's, kind of, in the category of films like Unbreakable. Basically, the movie is (no spoilers ahead) Arthur, being tormented by the society and being a mentally unstable loner, loses his mind after the constant torment and after that, all hell breaks loose. That's all the movie shows. It would be quite difficult to give a really good story for a plot like this, since there are many movies with this kind of plot (awfully crappy ones included). I completely liked this movie, means the screenplay and direction worked for me. You can feel for Arthur, whenever the movie asks you to. You want to root for Arthur, but you know that it will mean some incredibly terrible things will happen. We see him slowly transition into Joker, and when he completely turns into the Joker it is worth a round of applause. We feel good as well as terrified with the actions of the Joker whenever he snaps and crazy stuff happens. Without getting into spoilers, I would say - in short - that it has many quotable lines and each of them make sense. Whatever Joker (a psychopath) says is more realistic than what a sane person says. And obviously has some sick, terrifying and gruesome Joker moments that a proper Joker movie should have. If it's not clear by the trailers, there's no Batman here. But (again, no spoilers) it does have some Batman references to support the movie. It could've created a mess and might have felt like a shoehorned plotline, but it plays out as a proper support for the main story and the transition of Arthur into Joker.

Mixed : It is a good thing that the movie has a 70s psycho horror vibe to it. But, it could've been more original. Like many others have pointed out, it's similar to Taxi Driver by Scorsese. While it wasn't a copy and paste of Taxi Driver, but some parts make it obvious that the movie was inspired by Taxi Driver. Not necessarily a bad thing, the movie has the elements as a homage-ish way, but looking at how well made it was, it could've been slightly more original. And, it may feel a bit slow for some people, though it's worth your time.

My take on the controversy : It can happen that some morons might watch this film and cause violence. It can happen with any violent movie. But, even though it justified the Joker's actions, it doesn't show them to be right. Speaking of violence, it's just psychologically compelling horror. It's less violent than Deadpool, but feels more violent as it's a serious movie. So, glorification and siding with a psychopath is a complete and total nonsense.

Conclusion : It's a must watch. You don't need to follow any of the DC movies to understand it. But do not expect it to be a typical superhero action film with CGI battles and a spectacle. Wrong expectations might ruin the experience. Else, I found it to be better than The Dark Knight Rises. And TDKR is one of my favorites in the genre. If a Nolan movie is replaced by another movie in my list, you may consider it to be great. One last thing, people causing violence because of Joker would be equivalent to The Good, The Bad and The Ugly inspiring three people to have a gun duel for some gold.

Rating:

Score : 10/10

Grade : A+",dc still give us compelling movie wasnt quite hyped mean origin story villain made director hangover movies could even expect reviews started drop still wasnt sure would like saw way better thought would wont call masterpiece definitely top 3 dc films timesgood theres hardly anything bad joker joaquin phoenix great job bringing character life rather typical superherosupervillain origin story get see psychological drama horror thank god got love genre love films like infinity war days future past endgame raimis spiderman occasionally really good take break films kind category films like unbreakable basically movie spoilers ahead arthur tormented society mentally unstable loner loses mind constant torment hell breaks loose thats movie shows would quite difficult give really good story plot like since many movies kind plot awfully crappy ones included completely liked movie means screenplay direction worked feel arthur whenever movie asks want root arthur know mean incredibly terrible things happen see slowly transition joker completely turns joker worth round applause feel good well terrified actions joker whenever snaps crazy stuff happens without getting spoilers would say short many quotable lines make sense whatever joker psychopath says realistic sane person says obviously sick terrifying gruesome joker moments proper joker movie clear trailers theres batman spoilers batman references support movie couldve created mess might felt like shoehorned plotline plays proper support main story transition arthur jokermixed good thing movie 70s psycho horror vibe couldve original like many others pointed similar taxi driver scorsese wasnt copy paste taxi driver parts make obvious movie inspired taxi driver necessarily bad thing movie elements homageish way looking well made couldve slightly original may feel bit slow people though worth timemy take controversy happen morons might watch film cause violence happen violent movie even though justified jokers actions doesnt show right speaking violence psychologically compelling horror less violent deadpool feels violent serious movie glorification siding psychopath complete total nonsenseconclusion must watch dont need follow dc movies understand expect typical superhero action film cgi battles spectacle wrong expectations might ruin experience else found better dark knight rises tdkr one favorites genre nolan movie replaced another movie list may consider great one last thing people causing violence joker would equivalent good bad ugly inspiring three people gun duel goldratingscore 1010grade
34,jkibby-91961,,
35,darrenhutchison,"All the silly kids and people masquerading as film buffs and critics, please just go back to watching your happy go lucky rom coms with happy endings. Just sit in your dark room with your keyboard and make as many comments as you like on marvel movies being the best things you've seen. Maybe even give your mother a shout for more meatloaf while you tell us your thoughts on how the best movies are all crap and delve into how profound Donnie darko was. Keyboard warriors always seem to have thee most ridiculous insights and views on movies. To say this movie is boring is a statement I will never get. And overrated? Don't get my started. There have been so much worse than this movie for that, try avatar, titanic, citizen Kane etc. Doesn't make them bad movies (with the exception of avatar) but apparently overrated means crap now. It's a huge movie franchise, of course it will be hyped up! We have another batman coming out already after only a few short years after the last one ffs. Do you think the marvel films or Star Wars will stop because there was an end game and ending to the skywalker saga? Nope. And do you think these movies wouldn't be overrated at some point? This movie DESERVES to be hyped up. Gotham has never looked more like it should as it does in both animation and in the Arkham game series. I would both love and probably hate there to be a sequel if you get my meaning. The joker is intriguing because of his mysterious past and beginnings, I think this was enough and if we did delve any further we would lose that mysteriousness, but you can't help a small part of you wanting to know more. I read one review where the guy watched it as a date night film and said they didn't like its dark nature and were bored. Who the hell watches this as date movie? Maybe a serial killer. Not exactly a movie to get u in the mood is it. Maybe try hostel or I spit on your grave for next week buddy. I should stop reading reviews on here, they just annoy me. It's worse than YouTube almost...",silly kids people masquerading film buffs critics please go back watching happy go lucky rom coms happy endings sit dark room keyboard make many comments like marvel movies best things youve seen maybe even give mother shout meatloaf tell us thoughts best movies crap delve profound donnie darko keyboard warriors always seem thee ridiculous insights views movies say movie boring statement never get overrated dont get started much worse movie try avatar titanic citizen kane etc doesnt make bad movies exception avatar apparently overrated means crap huge movie franchise course hyped another batman coming already short years last one ffs think marvel films star wars stop end game ending skywalker saga nope think movies wouldnt overrated point movie deserves hyped gotham never looked like animation arkham game series would love probably hate sequel get meaning joker intriguing mysterious past beginnings think enough delve would lose mysteriousness cant help small part wanting know read one review guy watched date night film said didnt like dark nature bored hell watches date movie maybe serial killer exactly movie get u mood maybe try hostel spit grave next week buddy stop reading reviews annoy worse youtube almost
36,msaleem_butt,This my first time writing review about any movie here. Joaquin Phonix is a great actor. He perform very good acting. And this movie is one of the best movie this year. I just love it.,first time writing review movie joaquin phonix great actor perform good acting movie one best movie year love
37,lukasvandee,,
38,tommiasikainen,"Amazing character work. Highly enjoyable movie despite the heavy content. Joaquin Phoenix is superb job as Joker. I've always been a big fan of him and I'm so happy that he finally won the academy award that he well and truly deserved.

The writing and Phoenix's is character work as Arthur, who later becomes Joker is tremendous. Author has had an extremely difficult life and he struggles with his mental illness. He ended up committing crimes that definitely makes him a villain, but a villain he audience can sympathize with. It is not a story that encourages violence, but instead, it's a story that describes what kind of events can lead a good person to do horrible things.",amazing character work highly enjoyable movie despite heavy content joaquin phoenix superb job joker ive always big fan im happy finally academy award well truly deservedthe writing phoenixs character work arthur later becomes joker tremendous author extremely difficult life struggles mental illness ended committing crimes definitely makes villain villain audience sympathize story encourages violence instead story describes kind events lead good person horrible things
39,walshj-01468,Dark and very entertaining. Hoping for a joker 2. Would love to see Batman from the view of the joker,dark entertaining hoping joker 2 would love see batman view joker
40,mack_89,"This is a movie for those who likes a dark plot!

The actors are amazing. The story is interesting and you never feel like its boring.

The movie is like a rabbit hole, you just keep running and running but there is no end. It gets deeper and deeper, until you have arrived at the breaking point where he just snaps, and its beautiful.

Thats all i have to say!",movie likes dark plotthe actors amazing story interesting never feel like boringthe movie like rabbit hole keep running running end gets deeper deeper arrived breaking point snaps beautifulthats say
41,oliviadaly-84118,"Joaquin Phoenix plays the role of Joker absolutely amazingly! The music, casting, storyline was perfect and very much enjoyed it. There was even an applause at the end when I watched it at the cinema.",joaquin phoenix plays role joker absolutely amazingly music casting storyline perfect much enjoyed even applause end watched cinema
